Facility_ID,Facility_Type,Location_Name,Operator,Latitude,Longitude,Status
EN-TX-054,Well Pad,Barnett Pad 04,South Texas Drillers,33.2250,-97.1450,Active
EN-TX-055,Well Pad,Barnett Pad 05,South Texas Drillers,33.2300,-97.1500,Maintenance
EN-TX-056,Compressor Station,Denton Gas Plant,Tejas Pipeline Co,33.2100,-97.1300,Active
EN-TX-057,Pump Station,Fort Worth Hub,Permian Logistics,32.7500,-97.3300,Active
EN-TX-058,Storage Terminal,Dallas South Tanks,Coastal Storage,32.6500,-96.7500,Active
EN-TX-059,Pump Station,Waco Pipeline,Permian Logistics,31.5400,-97.1400,Active
EN-TX-060,Compressor Station,Temple Station,Tejas Pipeline Co,31.0900,-97.3400,Active
EN-TX-061,Well Pad,Haynesville Pad 01,South Texas Drillers,32.0500,-94.3700,Active
EN-TX-062,Well Pad,Haynesville Pad 02,South Texas Drillers,32.0550,-94.3750,Active
EN-TX-063,Well Pad,Haynesville Pad 03,South Texas Drillers,32.0600,-94.3800,Active
EN-TX-064,Well Pad,Haynesville Pad 04,South Texas Drillers,32.0650,-94.3850,Active
EN-TX-065,Well Pad,Haynesville Pad 05,South Texas Drillers,32.0700,-94.3900,Maintenance
EN-TX-066,Compressor Station,Carthage Gas Plant,Tejas Pipeline Co,32.1500,-94.3300,Active
EN-TX-067,Pump Station,Longview Hub,Permian Logistics,32.5000,-94.7300,Active
EN-TX-068,Storage Terminal,Tyler Tanks,Coastal Storage,32.3500,-95.3000,Active
EN-TX-069,Pump Station,Lufkin Pipeline,Permian Logistics,31.3300,-94.7300,Active
EN-TX-070,Compressor Station,Nacogdoches Station,Tejas Pipeline Co,31.6000,-94.6500,Active
EN-TX-071,Well Pad,Permian Pad 11,South Texas Drillers,31.5000,-101.5000,Active
EN-TX-072,Well Pad,Permian Pad 12,South Texas Drillers,31.5050,-101.5050,Active
EN-TX-073,Well Pad,Permian Pad 13,South Texas Drillers,31.5100,-101.5100,Active
EN-TX-074,Well Pad,Permian Pad 14,South Texas Drillers,31.5150,-101.5150,Active
EN-TX-075,Well Pad,Permian Pad 15,South Texas Drillers,31.5200,-101.5200,Maintenance
EN-TX-076,Pump Station,Big Spring Hub,Permian Logistics,32.2500,-101.4700,Active
EN-TX-077,Compressor Station,Snyder Gas Plant,Tejas Pipeline Co,32.7100,-100.9100,Active
EN-TX-078,Well Pad,Permian Pad 16,South Texas Drillers,32.7150,-100.9150,Active
EN-TX-079,Well Pad,Permian Pad 17,South Texas Drillers,32.7200,-100.9200,Active
EN-TX-080,Well Pad,Permian Pad 18,South Texas Drillers,32.7250,-100.9250,Inactive
EN-TX-081,Storage Terminal,Abilene Tanks,Coastal Storage,32.4400,-99.7300,Active
EN-TX-082,Pump Station,Sweetwater Pipeline,Permian Logistics,32.4700,-100.4000,Active
EN-TX-083,Well Pad,Eagle Ford Pad 11,South Texas Drillers,28.6000,-99.5000,Active
EN-TX-084,Well Pad,Eagle Ford Pad 12,South Texas Drillers,28.6050,-99.5050,Active
EN-TX-085,Well Pad,Eagle Ford Pad 13,South Texas Drillers,28.6100,-99.5100,Active
EN-TX-086,Well Pad,Eagle Ford Pad 14,South Texas Drillers,28.6150,-99.5150,Active
EN-TX-087,Well Pad,Eagle Ford Pad 15,South Texas Drillers,28.6200,-99.5200,Maintenance
EN-TX-088,Pump Station,Cotulla Hub,Permian Logistics,28.4300,-99.2300,Active
EN-TX-089,Compressor Station,Carrizo Springs Plant,Tejas Pipeline Co,28.5200,-99.8600,Active
EN-TX-090,Well Pad,Eagle Ford Pad 16,South Texas Drillers,28.5250,-99.8650,Active
EN-TX-091,Well Pad,Eagle Ford Pad 17,South Texas Drillers,28.5300,-99.8700,Active
EN-TX-092,Well Pad,Eagle Ford Pad 18,South Texas Drillers,28.5350,-99.8750,Inactive
EN-TX-093,Storage Terminal,Laredo Tanks,Coastal Storage,27.5000,-99.5000,Active
EN-TX-094,Pump Station,Zapata Pipeline,Permian Logistics,26.9000,-99.2700,Active
EN-TX-095,Refinery,Freeport Hub A,Gulf Coast Energy,28.9500,-95.3600,Active
EN-TX-096,Refinery,Freeport Hub B,Gulf Coast Energy,28.9550,-95.3650,Active
EN-TX-097,Storage Terminal,Freeport Tanks,Coastal Storage,28.9600,-95.3700,Active
EN-TX-098,Compressor Station,Angleton Station,Tejas Pipeline Co,29.1600,-95.4300,Maintenance
EN-TX-099,Pump Station,Lake Jackson Pipeline,Permian Logistics,29.0400,-95.4400,Active
EN-TX-100,Refinery,Sweeny Complex,Gulf Coast Energy,29.0400,-95.6900,Active
